"","Period_3y","ct","ct_anomaly_months","ct_anomaly_days","se_ct_months","lower_ct","upper_ct","se_cta_days","Year"
"1",1,7.06928838951311,0.121840668846356,3.70882995968307,0.2022297,6.67291817751311,7.46565860151311,6.260224,1997
"2",2,7.05827814569536,0.110830425028611,3.37367813787093,0.1805425,6.70441484569536,7.41214144569536,5.613621,2000
"3",3,7.19630156472262,0.248853844055866,7.57511101306055,0.1925684,6.81886750072262,7.57373562872262,5.888801,2003
"4",4,7.1228813559322,0.175433635265451,5.34019985748032,0.2557991,6.6215151199322,7.6242475919322,7.870936,2006
"5",5,6.89031078610603,-0.0571369345607193,-1.7392482880283,0.180777,6.53598786610603,7.24463370610603,5.605435,2009
"6",6,7.19738562091503,0.24993790024828,7.60810968355766,0.2128862,6.78012866891503,7.61464257291503,6.622123,2012
"7",7,6.75555555555556,-0.191892165111196,-5.84119750598481,0.1810176,6.40076105955556,7.11035005155556,5.532436,2015
"8",8,6.48286140089419,-0.464586319772565,-14.1420075738769,0.2340665,6.02409106089419,6.94163174089419,6.999252,2018
"9",9,6.75416666666667,-0.193281054000086,-5.88347528376262,0.2151879,6.33239838266667,7.17593495066667,6.490995,2021
