Year,Month,Station,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SouthernLog10Biomass (mg/m3),NorthernLog10Biomass (mg/m3)
2016,5,NH25,0.551180051,-0.891642172,1.051833333,0.312033333
2016,6,NH05,0.516086845,-0.661289871,0.774596296,1.353433333
2016,6,NH25,0.497511998,-0.865400463,0.9559,0.562133333
2016,7,NH05,0.447431475,-0.663733611,0.677955556,1.604966667
2016,8,NH05,0.299990046,-0.851970337,0.542055556,1.5628
2016,8,NH25,0.359345497,-0.774629924,0.732272222,1.0821
2016,9,NH05,0.376309616,-0.902513135,0.751972222,1.115583333
2016,9,NH25,0.046830864,-0.076147917,0.440877778,1.477233333
2016,10,NH05,0.218391872,-0.253760185,0.728033333,1.289833333
2016,11,NH05,0.451724074,-0.912388272,1.138188889,0.133766667
2016,12,NH05,0.125123188,-0.84402971,0.781122222,0.116266667
2016,12,NH25,0.053175214,-0.695192308,0.5695,0
2017,1,NH05,-0.055472315,-1.066306389,0.718477778,0
2017,1,NH25,0.201203588,-0.5749875,0.729677778,0
2017,2,NH05,0.180978846,-1.101223718,0.899807407,0.008744444
2017,2,NH25,0.030551146,-0.677956614,0.607355556,0
2017,3,NH05,0.429212997,-1.33032716,1.021888889,0
2017,4,NH05,0.518692044,-1.358144856,1.055605556,0.109533333
2017,5,NH05,0.311857077,-1.571077579,0.694544444,0.124833333
2017,5,NH25,0.326313384,-0.844675505,0.826966667,0.359
2017,6,NH05,0.699323882,-1.236056538,0.957833333,0.778666667
2017,6,NH25,0.034534221,-1.304433796,0.492922222,0.1231
2017,7,NH05,0.266624067,-0.440666944,0.497148148,1.828033333
2017,8,NH05,0.133867824,0.316729663,0.375933333,2.7315
2017,8,NH25,0.513906608,0.263336742,0.886833333,2.120066667
2017,9,NH05,0.063631839,-0.281263135,0.439294444,1.736833333
2017,9,NH25,0.099675309,0.020985417,0.493722222,1.574366667
2017,10,NH05,0.124097428,0.148189815,0.633738889,1.691783333
2017,11,NH05,0.048190741,0.452511728,0.734655556,1.498666667
2017,12,NH05,-0.158293478,-0.258796377,0.497705556,0.7015
2017,12,NH25,0.022086325,0.025341026,0.538411111,0.720533333
2018,2,NH05,0.115699217,-0.082901496,0.834527778,1.027066667
2018,2,NH25,-0.020382187,-0.25352328,0.556422222,0.424433333
2018,3,NH05,0.085607442,0.156156173,0.678283333,1.486483333
2018,3,NH25,0.31908107,0.54161142,0.890233333,1.499566667
2018,4,NH05,0.254903155,0.144938477,0.791816667,1.612616667
2018,5,NH05,0.124923743,-0.046544246,0.507611111,1.649366667
2018,5,NH25,-0.039708838,-0.527142172,0.460944444,0.676533333
2018,6,NH05,0.038896104,0.171760129,0.297405556,2.186483333
2018,6,NH25,0.078989776,0.847366204,0.537377778,2.2749
2018,7,NH05,0.021659253,0.207583056,0.252183333,2.476283333
2018,7,NH25,-0.154763636,-0.118717929,0.148722222,1.943933333
2018,8,NH05,-0.059565509,0.136929663,0.1825,2.5517
2018,9,NH05,-0.220962606,0.577553532,0.1547,2.59565
2018,9,NH25,0.030564198,0.310652083,0.424611111,1.864033333
2018,10,NH05,-0.441997016,-0.307326852,0.067644444,1.236266667
2018,10,NH25,-0.273488477,-0.211492593,0.106011111,0.8423
2018,11,NH05,-0.459364815,0.535778395,0.2271,1.581933333
2018,11,NH25,-0.148218827,-0.012187037,0.292866667,0.8568
2018,12,NH05,-0.303654589,-0.040596377,0.352344444,0.9197
2018,12,NH25,-0.167869231,0.020341026,0.348455556,0.715533333
2019,1,NH05,-0.003416759,-0.517673056,0.770533333,0.548633333
2019,1,NH25,-0.215740856,-0.263054167,0.312733333,0.311933333
2019,2,NH05,0.213615883,-0.746234829,0.932444444,0.363733333
2019,2,NH25,-0.011359965,-0.429856614,0.565444444,0.2481
2019,3,NH05,0.210007442,-0.547543827,0.802683333,0.782783333
2019,3,NH25,-0.202763374,-0.302255247,0.368388889,0.6557
2019,4,NH05,0.127508711,-0.301328189,0.664422222,1.16635
2019,4,NH25,0.202649074,-0.387013194,0.702955556,0.732633333
2019,5,NH05,0.233079299,0.567855754,0.615766667,2.263766667
2019,5,NH25,0.139257828,-0.598642172,0.639911111,0.605033333
2019,6,NH05,-0.066539081,0.701376796,0.19197037,2.7161
2019,6,NH25,-0.163843557,-0.188083796,0.294544444,1.23945
2019,7,NH05,-0.051324081,0.516449722,0.1792,2.78515
2019,7,NH25,0.30220303,-0.265551263,0.605688889,1.7971
2019,8,NH05,0.052267824,0.515896329,0.294333333,2.930666667
2019,9,NH05,0.346559616,-0.354040913,0.722222222,1.664055556
2019,9,NH25,0.242175309,0.510185417,0.636222222,2.063566667
2019,10,NH05,0.334491872,-0.519076852,0.844133333,1.024516667
2019,10,NH25,0.015733745,-0.621925926,0.395233333,0.431866667
2019,11,NH05,0.229785185,-0.297804938,0.91625,0.74835
2019,12,NH05,0.3221343,0.226503623,0.978133333,1.1868
2019,12,NH25,0.12484188,0.174274359,0.641166667,0.869466667
2020,2,NH05,-0.035911895,0.410065171,0.682916667,1.520033333
2020,2,NH25,-0.059337743,0.002410053,0.517466667,0.680366667
2020,3,NH05,-0.047875892,0.714739506,0.5448,2.045066667
2020,3,NH25,0.20898107,0.086144753,0.780133333,1.0441
2020,4,NH05,-0.187446845,0.780988477,0.349466667,2.248666667
2020,4,NH25,0.095771296,0.544120139,0.596077778,1.663766667
2020,5,NH05,-0.337154034,0.622455754,0.045533333,2.318366667
2020,6,NH05,-0.258509451,0.763393462,0,2.778116667
2020,6,NH25,-0.323565779,0.699349537,0.134822222,2.126883333
2020,7,NH05,-0.186974081,0.709999722,0.04355,2.9787
2020,7,NH25,0.00540303,0.729682071,0.308888889,2.792333333
2020,8,NH05,-0.14617662,0.340379663,0.095888889,2.75515
2020,8,NH25,-0.113093392,1.037070076,0.259833333,2.8938
2020,9,NH05,0.071031839,-0.108146468,0.446694444,1.90995
2020,9,NH25,-0.069524691,0.531985417,0.324522222,2.085366667
2020,10,NH05,0.118825206,0.133673148,0.628466667,1.677266667
2020,10,NH25,-0.224166255,0.389474074,0.155333333,1.443266667
2020,11,NH05,0.085957407,0.112611728,0.772422222,1.158766667
2020,12,NH05,0.291712077,0.69872029,0.947711111,1.659016667
2020,12,NH25,0.116486325,0.046641026,0.632811111,0.741833333
2021,1,NH05,-0.199816759,0.934326944,0.574133333,2.000633333
2021,2,NH05,-0.134684117,0.923265171,0.584144444,2.033233333
2021,3,NH05,-0.210259225,0.683406173,0.382416667,2.013733333
2021,3,NH25,-0.072441152,0.71411142,0.498711111,1.672066667
2021,4,NH05,-0.368657956,0.675371811,0.168255556,2.14305
2021,4,NH25,0.056315741,0.871586806,0.556622222,1.991233333
2021,5,NH05,-0.331516997,0.919233532,0.05117037,2.615144444
2021,5,NH25,-0.414664394,1.540757828,0.085988889,2.744433333
2021,6,NH05,-0.258509451,0.496076796,0,2.5108
2021,6,NH25,-0.316365779,0.81813287,0.142022222,2.245666667
2021,7,NH05,-0.155285192,0.448799722,0.075238889,2.7175
2021,7,NH25,-0.226163636,0.430448737,0.077322222,2.4931
2021,8,NH05,-0.208959954,0.149129663,0.033105556,2.5639
2021,8,NH25,-0.279248948,0.420936742,0.093677778,2.277666667
2021,9,NH05,-0.230062606,0.707036865,0.1456,2.725133333
2021,10,NH05,-0.05068035,0.321889815,0.458961111,1.865483333
2021,11,NH05,0.435668519,0.051511728,1.122133333,1.097666667
2021,11,NH25,0.200081173,0.02057963,0.641166667,0.889566667
2021,12,NH05,0.203123188,-0.265896377,0.859122222,0.6944
2022,1,NH05,0.204249907,0.473660278,0.9782,1.539966667
2022,1,NH25,0.22372581,0.121679167,0.7522,0.696666667
2022,2,NH05,0.060204772,0.451848504,0.779033333,1.561816667
2022,2,NH25,0.033828924,0.603210053,0.610633333,1.281166667
2022,3,NH05,-0.115742558,0.965906173,0.476933333,2.296233333
2022,3,NH25,-0.01611893,0.269578086,0.555033333,1.227533333
2022,4,NH05,-0.432069067,1.003155144,0.104844444,2.470833333
2022,4,NH25,0.034493519,0.506053472,0.5348,1.6257
2022,5,NH05,-0.293220701,0.383289087,0.089466667,2.0792
2022,5,NH25,-0.223353283,-0.253742172,0.2773,0.949933333
2022,6,NH05,-0.236059451,-0.168673204,0.02245,1.84605
2022,7,NH05,-0.211235192,-0.296950278,0.019288889,1.97175
2022,8,NH05,-0.230782176,0.208312996,0.011283333,2.623083333
2022,9,NH05,-0.209018161,0.164870198,0.166644444,2.182966667
2022,9,NH25,-0.108546914,-0.348147917,0.2855,1.205233333
2022,10,NH05,0.104308539,0.215423148,0.61395,1.759016667
2022,10,NH25,0.015200412,0.417707407,0.3947,1.4715
2022,11,NH05,0.473768519,0.401028395,1.160233333,1.447183333
2022,11,NH25,0.104170062,0.011146296,0.545255556,0.880133333
2022,12,NH05,0.094589855,0.368803623,0.750588889,1.3291
2022,12,NH25,0.307819658,0.260307692,0.824144444,0.9555
2023,1,NH05,0.12947213,0.439793611,0.903422222,1.5061
2023,2,NH05,-0.319839672,-0.131568162,0.398988889,0.9784
2023,2,NH25,-0.012648854,0.45227672,0.564155556,1.130233333
2023,3,NH05,-0.110442558,0.50532284,0.482233333,1.83565
2023,3,NH25,0.254547737,0.421144753,0.8257,1.3791
2023,4,NH05,0.102092044,0.690355144,0.639005556,2.158033333
2023,4,NH25,0.123982407,0.383486806,0.624288889,1.503133333
2023,5,NH05,-0.166681812,-0.013277579,0.216005556,1.682633333
2023,5,NH25,-0.124731061,0.436857828,0.375922222,1.640533333
2023,6,NH05,-0.169792784,0.317726796,0.088716667,2.33245
2023,6,NH25,-0.233232446,0.608666204,0.225155556,2.0362
2023,7,NH05,-0.189335192,-0.098483611,0.041188889,2.170216667
2023,7,NH25,-0.26139697,-0.230584596,0.042088889,1.832066667
2023,8,NH05,-0.178659954,0.508996329,0.063405556,2.923766667
2023,8,NH25,-0.061882281,-0.694096591,0.311044444,1.162633333
2023,9,NH05,-0.21610705,0.016747976,0.159555556,2.034844444
2023,9,NH25,0.025191975,0.28106875,0.419238889,1.83445
