"Period_3y","Month","avg_t"
1,1,12.1836519657143
1,2,10.64664423
1,3,10.2727984567333
1,4,9.94167951757895
1,5,10.1751396170625
1,6,9.44520448716667
1,7,8.92828779355555
1,8,9.90673711017647
1,9,10.575260866
1,10,11.1618580322857
1,11,10.97839667905
1,12,11.2798514216667
2,1,10.2027103137222
2,2,9.71051480610526
2,3,9.56703521384211
2,4,9.44921024857143
2,5,9.29322585494737
2,6,8.85640895866667
2,7,8.41627527819048
2,8,8.65328449223809
2,9,8.84021239665
2,10,8.89876326523529
2,11,9.66858425378947
2,12,10.7039539283333
3,1,10.9044605353333
3,2,10.5239500319048
3,3,10.4377576605882
3,4,10.3253199243333
3,5,10.3155201763158
3,6,10.0438676509524
3,7,9.57261556152381
3,8,8.68855729609524
3,9,9.05951667080952
3,10,10.5409402249524
3,11,10.6661429095238
3,12,10.3416457473333
4,1,9.80350851042857
4,2,9.47991795842857
4,3,9.4388484460625
4,4,9.51523356942857
4,5,9.17097617352381
4,6,9.05754742276191
4,7,8.90747821380952
4,8,9.14258911952381
4,9,8.96975884914286
4,10,9.84943386109524
4,11,10.5874823917368
4,12,10.3926524483333
5,1,9.63230375057143
5,2,9.64159754314286
5,3,9.93601302094118
5,4,9.420187071
5,5,9.39497525342857
5,6,9.05549290219048
5,7,8.44122377319048
5,8,8.55906802652381
5,9,9.76997273647619
5,10,10.0695727698095
5,11,10.9780112178947
5,12,10.124631606625
6,1,9.23039652019048
6,2,9.17755650292857
6,3,9.19052815373684
6,4,9.37864191614286
6,5,9.74904747342857
6,6,9.29645643819048
6,7,8.6274877947619
6,8,8.61827522295238
6,9,9.93506828415789
6,10,10.6928802078571
6,11,11.689377252
6,12,10.3616055935333
7,1,11.085718953
7,2,11.42484596
7,3,11.0556723479524
7,4,10.9301731515789
7,5,9.65083127114286
7,6,9.29934350785
7,7,9.13980975036842
7,8,9.01558661266667
7,9,10.1925581875652
7,10,10.8307095719412
7,11,12.2091537558571
7,12,11.8367268476923
8,1,11.17695028
8,2,10.3120905228571
8,3,9.54035208266667
8,4,9.80896545773684
8,5,9.908354295875
8,6,9.24656597157143
8,7,9.25148336057143
8,8,9.03753007347619
8,9,10.8359597773333
8,10,10.6379982804286
8,11,10.0522484072667
8,12,9.842528554
9,1,10.2436605874667
9,2,9.6558769488125
9,3,9.14035571966667
9,4,9.00226702271429
9,5,9.21070067142857
9,6,9.29324797626316
9,7,8.86046643661905
9,8,9.11303720114286
9,9,9.66696785690476
9,10,10.9766389698
9,11,11.1436350236154
9,12,9.828041378125
