"Period_3y","ct","ct_anomaly_months","ct_anomaly_days"
1,7.07430830039526,0.132066426842758,4.02010203309354
2,7.02439024390244,0.0821483703499393,2.50059639345215
3,7.27688172043011,0.334639846877608,10.1864369389544
4,6.84770642201835,-0.094535451534151,-2.87765914469956
5,7.29193548387097,0.349693610318468,10.6446734980942
6,6.75491329479769,-0.187328578754812,-5.70228193729648
7,6.83467278989667,-0.107569083655829,-3.27440290648343
8,6.54297994269341,-0.39926193085909,-12.1535331753507
9,6.83238866396761,-0.109853209584889,-3.34393169976403
