"POSITION","YEAR","MONTH","BCUI","pos_bcui"
"45N 125W",2023,6,92,92
"45N 125W",1996,7,148,148
"45N 125W",1997,7,58,58
"45N 125W",1998,7,60,60
"45N 125W",1999,7,87,87
"45N 125W",2000,7,56,56
"45N 125W",2001,7,134,134
"45N 125W",2002,7,103,103
"45N 125W",2003,7,93,93
"45N 125W",2004,7,53,53
"45N 125W",2005,7,73,73
"45N 125W",2006,7,101,101
"45N 125W",2007,7,14,14
"45N 125W",2008,7,49,49
"45N 125W",2009,7,81,81
"45N 125W",2010,7,119,119
"45N 125W",2011,7,59,59
"45N 125W",2012,7,96,96
"45N 125W",2013,7,186,186
"45N 125W",2014,7,100,100
"45N 125W",2015,7,74,74
"45N 125W",2016,7,68,68
"45N 125W",2017,7,106,106
"45N 125W",2018,7,91,91
"45N 125W",2019,7,32,32
"45N 125W",2020,7,73,73
"45N 125W",2021,7,129,129
"45N 125W",2022,7,75,75
"45N 125W",2023,7,72,72
"45N 125W",1996,8,70,70
"45N 125W",1997,8,5,5
"45N 125W",1998,8,100,100
"45N 125W",1999,8,49,49
"45N 125W",2000,8,69,69
"45N 125W",2001,8,20,20
"45N 125W",2002,8,91,91
"45N 125W",2003,8,75,75
"45N 125W",2004,8,21,21
"45N 125W",2005,8,93,93
"45N 125W",2006,8,114,114
"45N 125W",2007,8,32,32
"45N 125W",2008,8,20,20
"45N 125W",2009,8,26,26
"45N 125W",2010,8,52,52
"45N 125W",2011,8,64,64
"45N 125W",2012,8,59,59
"45N 125W",2013,8,17,17
"45N 125W",2014,8,81,81
"45N 125W",2015,8,45,45
"45N 125W",2016,8,90,90
"45N 125W",2017,8,87,87
"45N 125W",2018,8,68,68
"45N 125W",2019,8,29,29
"45N 125W",2020,8,43,43
"45N 125W",2021,8,79,79
"45N 125W",2022,8,48,48
"45N 125W",2023,8,52,52
"45N 125W",1996,9,33,33
"45N 125W",1997,9,-3,0
"45N 125W",1998,9,61,61
"45N 125W",1999,9,75,75
"45N 125W",2000,9,10,10
"45N 125W",2001,9,28,28
"45N 125W",2002,9,24,24
"45N 125W",2003,9,28,28
"45N 125W",2004,9,17,17
"45N 125W",2005,9,54,54
"45N 125W",2006,9,37,37
"45N 125W",2007,9,25,25
"45N 125W",2008,9,31,31
"45N 125W",2009,9,2,2
"45N 125W",2010,9,0,0
"45N 125W",2011,9,2,2
"45N 125W",2012,9,67,67
"45N 125W",2013,9,-1,0
"45N 125W",2014,9,5,5
"45N 125W",2015,9,21,21
"45N 125W",2016,9,28,28
"45N 125W",2017,9,23,23
"45N 125W",2018,9,12,12
"45N 125W",2019,9,7,7
"45N 125W",2020,9,-1,0
"45N 125W",2021,9,4,4
"45N 125W",2022,9,11,11
"45N 125W",2023,9,3,3
"45N 125W",1996,10,-1,0
