"Period_3y","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","se_ct_months","lower_ct","upper_ct","se_cta_days","Year"
1,6.51887008576813,6.73859597503481,0.452913550283502,-0.219725889266677,-6.68845606927764,0.1440763,6.23648053776813,6.80125963376813,3.644214,1997
2,6.34789386772901,6.73859597503481,0.452913550283502,-0.390702107305803,-11.8929721463887,0.1230981,6.106621591729,6.58916614372901,1.381582,2000
3,6.18784575085329,6.73859597503481,0.452913550283502,-0.550750224181514,-16.7648368240853,0.06477802,6.06088083165329,6.31481067005329,1.373281,2003
4,6.94662232503466,6.73859597503481,0.452913550283502,0.208026349999849,6.3323220939954,0.1026722,6.74538481303466,7.14785983703466,1.493738,2006
5,6.94696264643399,6.73859597503481,0.452913550283502,0.208366671399182,6.34268147739111,0.1071475,6.73695354643399,7.15697174643399,1.462603,2009
6,7.61009885922696,6.73859597503481,0.452913550283502,0.871502884192155,26.5285477948092,0.1401642,7.33537702722696,7.88482069122696,2.504765,2012
7,6.6302817183576,6.73859597503481,0.452913550283502,-0.108314256677209,-3.29708597325425,0.09183508,6.4502849615576,6.8102784751576,2.615278,2015
8,6.35611030117553,6.73859597503481,0.452913550283502,-0.382485673859276,-11.6428639122764,0.08943311,6.18082140557553,6.53139919677553,1.680094,2018
9,7.1026782207341,6.73859597503481,0.452913550283502,0.364082245699289,11.0826635590864,0.09143974,6.9234563303341,7.2819001111341,1.655903,2021
