"Period_3y","ct","ct_anomaly_months","ct_anomaly_days"
1,6.16574585635359,-0.79001370176529,-24.0480170817354
2,6.82488479262673,-0.130874765492154,-3.98382786158116
3,7.20703125,0.251271691881119,7.64871030086125
4,7.52100840336134,0.565248845242463,17.2061748491806
5,6.89655172413793,-0.0592078339809508,-1.80228646638014
6,7.46124031007752,0.505480751958638,15.3868340896209
7,6.57462686567164,-0.381132692447239,-11.601679158094
8,6.65789473684211,-0.297864821276776,-9.06700515966506
9,7.31818181818182,0.362422260062937,11.0321335963158
NA,6.93042982393613,-0.0253297341827494,-0.771037108522892
