"Period_3y","Assemblage","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days"
1,"Southern",6.54893588747352,6.22159567346333,0.402478951325536,0.327340214010188,9.96423611447012
1,"Northern",6.95668032433309,6.76157542930083,0.370911790591239,0.195104895032256,5.93899300478187
2,"Southern",5.56315787605748,6.22159567346333,0.402478951325536,-0.658437797405858,-20.0428465530343
2,"Northern",6.95959704191499,6.76157542930083,0.370911790591239,0.198021612614163,6.02777788797511
3,"Southern",5.86520841174363,6.22159567346333,0.402478951325536,-0.356387261719706,-10.8484282467479
3,"Northern",7.09007144439023,6.76157542930083,0.370911790591239,0.3284960150894,9.99941869932135
4,"Southern",6.56040945253173,6.22159567346333,0.402478951325536,0.338813779068399,10.3134914348421
4,"Northern",6.40597654466906,6.76157542930083,0.370911790591239,-0.35559888463177,-10.8244300481911
5,"Southern",5.71888241843848,6.22159567346333,0.402478951325536,-0.502713255024854,-15.3025914829565
5,"Northern",6.58653945437564,6.76157542930083,0.370911790591239,-0.175035974925186,-5.32809507672267
6,"Southern",6.65269008137244,6.22159567346333,0.402478951325536,0.431094407909105,13.1225137767532
6,"Northern",6.37658817970684,6.76157542930083,0.370911790591239,-0.384987249593993,-11.7190118776412
7,"Southern",6.29874973219388,6.22159567346333,0.402478951325536,0.0771540587305504,2.34856954775795
7,"Northern",7.44903233679177,6.76157542930083,0.370911790591239,0.687456907490943,20.9261882640243
8,"Southern",6.3223505272678,6.22159567346333,0.402478951325536,0.10075485380447,3.06697774980807
8,"Northern",6.60363284594097,6.76157542930083,0.370911790591239,-0.157942583359864,-4.80777223747425
9,"Southern",6.46397667409104,6.22159567346333,0.402478951325536,0.242381000627704,7.37807765910731
9,"Northern",6.42606069158488,6.76157542930083,0.370911790591239,-0.335514737715947,-10.2130686160734
