"Period_3y","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days"
1,6.54385919011225,6.63817931863457,0.433877647499759,-0.094320128522325,-2.87110471221957
2,6.70154482100931,6.63817931863457,0.433877647499759,0.0633655023747401,1.92884589228709
3,5.99628545551201,6.63817931863457,0.433877647499759,-0.641893863122561,-19.5392491934507
4,6.80596028725181,6.63817931863457,0.433877647499759,0.167780968617232,5.10725268470855
5,6.90005033216697,6.63817931863457,0.433877647499759,0.261871013532392,7.97135365192602
6,7.23907243811636,6.63817931863457,0.433877647499759,0.600893119481788,18.2911865570256
7,5.92239190002969,6.63817931863457,0.433877647499759,-0.715787418604882,-21.7885690223326
8,6.4546782688092,6.63817931863457,0.433877647499759,-0.183501049825374,-5.58577195668438
9,7.15272158669277,6.63817931863457,0.433877647499759,0.514542268058196,15.6626666396915
NA,6.66522890664537,6.63817931863457,0.433877647499759,0.0270495880107946,0.823389459048588
