"scientific_name","Decade","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","cor","group","trend_ddec"
"Argentina sialis",1955,9.08183183183183,7.187422854182,1.08190621046923,1.89440897764983,57.665809279661,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",1965,7.03306869407253,7.187422854182,1.08190621046923,-0.154354160109468,-4.69854063373219,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",1975,6.74311274832885,7.187422854182,1.08190621046923,-0.444310105853143,-13.5247996221697,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",1985,7.43988942209221,7.187422854182,1.08190621046923,0.252466567910217,7.685082327187,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",1995,6.85691796453132,7.187422854182,1.08190621046923,-0.33050488965068,-10.0605688409667,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",2005,7.65065336908176,7.187422854182,1.08190621046923,0.463230514899768,14.1007368735489,-0.668686542439754,"earlier",-1.01942071497786
"Argentina sialis",2015,5.50648594933547,7.187422854182,1.08190621046923,-1.68093690484653,-51.1677193835282,-0.668686542439754,"earlier",-1.01942071497786
"Aristostomias scintillans",1965,6.49168548552659,7.80773714968576,0.87260453666582,-1.31605166415917,-40.0606126570051,0.558291729095416,"later",0.770943314376525
"Aristostomias scintillans",1985,8.58747746559381,7.80773714968576,0.87260453666582,0.779740315908055,23.7352952162412,0.558291729095416,"later",0.770943314376525
"Aristostomias scintillans",1995,8.28327321055629,7.80773714968576,0.87260453666582,0.475536060870538,14.4753176928992,0.558291729095416,"later",0.770943314376525
"Aristostomias scintillans",2005,7.3493577713276,7.80773714968576,0.87260453666582,-0.458379378358157,-13.9530682772223,0.558291729095416,"later",0.770943314376525
"Aristostomias scintillans",2015,8.32689181542449,7.80773714968576,0.87260453666582,0.519154665738731,15.803068025087,0.558291729095416,"later",0.770943314376525
"Bathophilus flemingi",1955,6.11471518987342,5.28439045825657,0.947918418150487,0.830324731616846,25.2750848304168,-0.555605095687723,"earlier",-0.692037325984602
"Bathophilus flemingi",1965,5.43051861702128,5.28439045825657,0.947918418150487,0.146128158764704,4.44814115279758,-0.555605095687723,"earlier",-0.692037325984602
"Bathophilus flemingi",1985,4.80508862635783,5.28439045825657,0.947918418150487,-0.479301831898738,-14.5899477629976,-0.555605095687723,"earlier",-0.692037325984602
"Bathophilus flemingi",1995,5.92142747740848,5.28439045825657,0.947918418150487,0.637037019151912,19.3914068629842,-0.555605095687723,"earlier",-0.692037325984602
"Bathophilus flemingi",2005,5.83604937051247,5.28439045825657,0.947918418150487,0.551658912255895,16.7924972890695,-0.555605095687723,"earlier",-0.692037325984602
"Bathophilus flemingi",2015,3.59854346836595,5.28439045825657,0.947918418150487,-1.68584698989062,-51.3171823722704,-0.555605095687723,"earlier",-0.692037325984602
"Bathylagoides wesethi",1955,5.63089788950194,6.62989175718843,0.512688347380298,-0.998993867686494,-30.4093733323769,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",1965,6.39797394817523,6.62989175718843,0.512688347380298,-0.231917809013203,-7.05957810636191,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",1975,6.76992095895079,6.62989175718843,0.512688347380298,0.140029201762352,4.26248890164599,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",1985,7.08310738316775,6.62989175718843,0.512688347380298,0.45321562597932,13.7958836548105,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",1995,7.11603407485958,6.62989175718843,0.512688347380298,0.486142317671144,14.7981721499096,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",2005,6.86766429353252,6.62989175718843,0.512688347380298,0.237772536344082,7.23779600631385,0.605509406146279,"later",0.437437084460438
"Bathylagoides wesethi",2015,6.54364375213123,6.62989175718843,0.512688347380298,-0.0862480050572021,-2.62538927394123,0.605509406146279,"later",0.437437084460438
"Bathylagus pacificus",1955,10.6354515050167,8.69679941410482,0.928739900109919,1.93865209091191,59.0125696473584,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",1965,8.44751291989664,8.69679941410482,0.928739900109919,-0.249286494208176,-7.58828088369689,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",1975,8.4035903124827,8.69679941410482,0.928739900109919,-0.293209101622121,-8.92528505337738,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",1985,8.6836192544248,8.69679941410482,0.928739900109919,-0.0131801596800152,-0.401204060659662,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",1995,8.61979679831089,8.69679941410482,0.928739900109919,-0.0770026157939299,-2.34395962476722,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",2005,8.4965667655846,8.69679941410482,0.928739900109919,-0.20023264852022,-6.09508182095551,-0.732595024640555,"earlier",-0.958736642856029
"Bathylagus pacificus",2015,7.59105834301737,8.69679941410482,0.928739900109919,-1.10574107108745,-33.6587582039018,-0.732595024640555,"earlier",-0.958736642856029
"Brosmophycis marginata",1955,5.58049521766336,5.06928383106881,1.00456104205224,0.51121138659455,15.5612746079381,-0.535625387539508,"earlier",-0.758191205949374
"Brosmophycis marginata",1965,5.61605061605062,5.06928383106881,1.00456104205224,0.546766784981807,16.6435809348462,-0.535625387539508,"earlier",-0.758191205949374
"Brosmophycis marginata",1975,6.05737222946708,5.06928383106881,1.00456104205224,0.98808839839827,30.0774108472433,-0.535625387539508,"earlier",-0.758191205949374
