"decade","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","se_ct_months","lower_ct","upper_ct","cta_se"
"1955",6.22939619622084,6.25572760344722,0.0701309120671493,-0.0263314072263778,-0.801528035970941,0.07324911,6.08582794062084,6.37296445182084,2.090939
"1965",6.1906777301331,6.25572760344722,0.0701309120671493,-0.0650498733141216,-1.98011814368186,0.06557856,6.0621437525331,6.3192117077331,1.874919
"1975",6.24639245540279,6.25572760344722,0.0701309120671493,-0.00933514804442304,-0.284161906472237,0.05307275,6.1423698654028,6.35041504540279,1.597823
"1985",6.38389074693423,6.25572760344722,0.0701309120671493,0.128163143487008,3.90128608774452,0.05358981,6.27885471933423,6.48892677453423,1.555605
"1995",6.22620599739244,6.25572760344722,0.0701309120671493,-0.0295216060547796,-0.898637688307491,0.0609192,6.10680436539244,6.34560762939244,1.7271
"2005",6.31675932288088,6.25572760344722,0.0701309120671493,0.0610317194336609,1.85780553956064,0.08329756,6.15349610528088,6.48002254048088,2.270023
"2015",6.19677077516625,6.25572760344722,0.0701309120671493,-0.0589568282809667,-1.79464585287263,0.04544613,6.10769636036625,6.28584518996625,1.384211
