"","Taxa","phase","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","group","mode"
"1","Anoplarchus.purpurescens","E",2.92754245268715,3.01213231314303,0.228405167581897,-0.0845898604558779,-2.57491535227692,"no_change","enso"
"2","Anoplarchus.purpurescens","L",2.83808876503399,3.01213231314303,0.228405167581897,-0.174043548109032,-5.29788560443892,"no_change","enso"
"3","Anoplarchus.purpurescens","N",3.27076572170794,3.01213231314303,0.228405167581897,0.25863340856491,7.87280095671585,"no_change","enso"
"4","Artedius.fenestralis","E",2.31607695512424,3.12184278643071,0.927366673730457,-0.805765831306467,-24.5275119049689,"earlier","enso"
"5","Artedius.fenestralis","L",2.91393521724471,3.12184278643071,0.927366673730457,-0.207907569185995,-6.3287064060217,"earlier","enso"
"6","Artedius.fenestralis","N",4.13551618692317,3.12184278643071,0.927366673730457,1.01367340049246,30.8562183109906,"earlier","enso"
"7","Artedius.harringtoni","E",4.11631712474874,3.81576782889155,0.886435101995867,0.300549295857188,9.1487205658928,"no_change","enso"
"8","Artedius.harringtoni","L",2.81813270240603,3.81576782889155,0.886435101995867,-0.997635126485526,-30.3680132502194,"no_change","enso"
"9","Artedius.harringtoni","N",4.51285365951989,3.81576782889155,0.886435101995867,0.697085830628339,21.2192926843266,"no_change","enso"
"10","Engraulis.mordax","E",3.76508022498476,5.6488592610629,1.82667128862146,-1.88377903607814,-57.3422338582185,"no_change","enso"
"11","Engraulis.mordax","L",7.4124910769657,5.6488592610629,1.82667128862146,1.7636318159028,53.6849524760813,"no_change","enso"
"12","Engraulis.mordax","N",5.76900648123824,5.6488592610629,1.82667128862146,0.120147220175336,3.65728138213723,"no_change","enso"
"13","Glyptocephalus.zachirus","E",6.12280884042826,6.4619426931918,0.373975727235913,-0.339133852763535,-10.323234478122,"no_change","enso"
"14","Glyptocephalus.zachirus","L",6.39999500449721,6.4619426931918,0.373975727235913,-0.0619476886945831,-1.88568764386311,"no_change","enso"
"15","Glyptocephalus.zachirus","N",6.86302423464992,6.4619426931918,0.373975727235913,0.401081541458119,12.2089221219851,"no_change","enso"
"16","Hemilepidotus.hemilepidotus","E",7.38524985441462,7.44237800138241,0.143554060384347,-0.0571281469677913,-1.73898079369957,"earlier","enso"
"17","Hemilepidotus.hemilepidotus","L",7.60570130227153,7.44237800138241,0.143554060384347,0.163323300889118,4.97156127906476,"earlier","enso"
"18","Hemilepidotus.hemilepidotus","N",7.33618284746108,7.44237800138241,0.143554060384347,-0.106195153921328,-3.23258048536522,"earlier","enso"
"19","Hemilepidotus.spinosus","E",1.34771684864804,1.63231709034546,0.247289228817967,-0.284600241697418,-8.66323135726941,"no_change","enso"
"20","Hemilepidotus.spinosus","L",1.79471670145421,1.63231709034546,0.247289228817967,0.162399611108744,4.94344416215017,"no_change","enso"
"21","Hemilepidotus.spinosus","N",1.75451772093414,1.63231709034546,0.247289228817967,0.122200630588674,3.71978719511924,"no_change","enso"
"22","Hexagrammos.decagrammus","E",7.69040992559484,7.67334404764232,0.0945506249419223,0.0170658779525237,0.519485324874821,"no_change","enso"
"23","Hexagrammos.decagrammus","L",7.57142273929283,7.67334404764232,0.0945506249419223,-0.101921308349489,-3.10248462615844,"no_change","enso"
"24","Hexagrammos.decagrammus","N",7.75819947803928,7.67334404764232,0.0945506249419223,0.0848554303969644,2.5829993012836,"no_change","enso"
"25","Isopsetta.isolepis","E",2.53708369721745,2.93209998647716,0.405965758822803,-0.395016289259716,-12.0242958450658,"earlier","enso"
"26","Isopsetta.isolepis","L",3.34819403127258,2.93209998647716,0.405965758822803,0.416094044795416,12.6659027235725,"earlier","enso"
"27","Isopsetta.isolepis","N",2.91102223094146,2.93209998647716,0.405965758822803,-0.0210777555357002,-0.641606878506715,"earlier","enso"
"28","Leptocottus.armatus","E",6.82367662099611,7.33648613933477,0.446809586557849,-0.512809518338663,-15.6099217382289,"later","enso"
"29","Leptocottus.armatus","L",7.54381335714406,7.33648613933477,0.446809586557849,0.207327217809287,6.31104051011471,"later","enso"
"30","Leptocottus.armatus","N",7.64196843986414,7.33648613933477,0.446809586557849,0.305482300529376,9.29888122811421,"later","enso"
"31","Liparis.fucensis","E",6.40584567437802,6.99906499607907,0.823370743239057,-0.593219321701048,-18.0575961525799,"no_change","enso"
"32","Liparis.fucensis","L",6.65224050482664,6.99906499607907,0.823370743239057,-0.346824491252431,-10.557337513724,"no_change","enso"
"33","Liparis.fucensis","N",7.93910880903255,6.99906499607907,0.823370743239057,0.940043812953479,28.6149336663039,"no_change","enso"
"34","Lipolagus.ochotensis","E",5.83681833972868,7.03628448486782,1.04149561171343,-1.19946614513914,-36.5117494580355,"no_change","enso"
"35","Lipolagus.ochotensis","L",7.71134241533383,7.03628448486782,1.04149561171343,0.675057930466011,20.5487634033854,"no_change","enso"
"36","Lipolagus.ochotensis","N",7.56069269954095,7.03628448486782,1.04149561171343,0.524408214673134,15.9629860546502,"no_change","enso"
"37","Lyopsetta.exilis","E",6.18780403001803,5.76293332133804,0.396558061470192,0.424870708679987,12.9330643722188,"earlier","enso"
"38","Lyopsetta.exilis","L",5.69838967331155,5.76293332133804,0.396558061470192,-0.064543648026488,-1.9647086459263,"earlier","enso"
"39","Lyopsetta.exilis","N",5.40260626068454,5.76293332133804,0.396558061470192,-0.3603270606535,-10.9683557262925,"earlier","enso"
"40","Microgadus.proximus","E",3.25687646381084,3.1847056476729,0.119804951079457,0.0721708161379437,2.19687964323901,"no_change","enso"
