"Period_3y","ct","unshift_ct","mean_ct_months","unshift_mean_ct","sd_ct_months","ct_anomaly_months","ct_anomaly_days"
1,6.79138640541728,0.791386405417279,6.71946279345087,0.719462793450869,0.575247353710043,0.0719236119664108,2.18935474825755
2,6.74381904650942,0.743819046509423,6.71946279345087,0.719462793450869,0.575247353710043,0.0243562530585546,0.741404343102402
3,5.67555866196838,-0.324441338031621,6.71946279345087,0.719462793450869,0.575247353710043,-1.04390413148249,-31.776441762327
4,7.06747184121505,1.06747184121505,6.71946279345087,0.719462793450869,0.575247353710043,0.348009047764179,10.5933954139416
5,6.93160225907558,0.931602259075581,6.71946279345087,0.719462793450869,0.575247353710043,0.212139465624713,6.45752533361625
6,7.52809281301734,1.52809281301734,6.71946279345087,0.719462793450869,0.575247353710043,0.808630019566468,24.6146977956033
7,6.0838201522479,0.0838201522478963,6.71946279345087,0.719462793450869,0.575247353710043,-0.635642641202972,-19.3489619982185
8,6.23801201901855,0.238012019018545,6.71946279345087,0.719462793450869,0.575247353710043,-0.481450774432323,-14.6553615737199
9,7.37131192384123,1.37131192384123,6.71946279345087,0.719462793450869,0.575247353710043,0.651849130390366,19.8422875290827
NA,6.76355281219796,0.763552812197959,6.71946279345087,0.719462793450869,0.575247353710043,0.0440900187470907,1.34210017066144
