"","Period_3y","Month","Assemblage","avg_Cope"
"145",7,1,"Southern",0.736166666666667
"146",7,1,"Northern",0.1483185185
"147",7,2,"Southern",0.8459503085
"148",7,2,"Northern",0.0812629628333333
"149",7,3,"Southern",0.914627778
"150",7,3,"Northern",0.1958066666
"151",7,4,"Southern",1.0238055556
"152",7,4,"Northern",0.1482555554
"153",7,5,"Southern",0.855178703666667
"154",7,5,"Northern",0.467996296166667
"155",7,6,"Southern",0.729051543166667
"156",7,6,"Northern",0.968415740666667
"157",7,7,"Southern",0.56138518525
"158",7,7,"Northern",1.68231527775
"159",7,8,"Southern",0.651407716
"160",7,8,"Northern",1.82203888883333
"161",7,9,"Southern",0.640063425833333
"162",7,9,"Northern",1.2150555555
"163",7,10,"Southern",0.88713194425
"164",7,10,"Northern",0.99883333325
"165",7,11,"Southern",0.93470000025
"166",7,11,"Northern",0.4081083335
"167",7,12,"Southern",0.59668472225
"168",7,12,"Northern",0.384575
"169",8,1,"Southern",0.541633333
"170",8,1,"Northern",0.430283333
"171",8,2,"Southern",0.681537037
"172",8,2,"Northern",0.710622222166667
"173",8,3,"Southern",0.677420370166667
"174",8,3,"Northern",1.25228333333333
"175",8,4,"Southern",0.620947778
"176",8,4,"Northern",1.4848066668
"177",8,5,"Southern",0.4539533332
"178",8,5,"Northern",1.5026133334
"179",8,6,"Southern",0.242686728333333
"180",8,6,"Northern",2.22032222216667
"181",8,7,"Southern",0.256372222166667
"182",8,7,"Northern",2.46224999983333
"183",8,8,"Southern",0.20813888875
"184",8,8,"Northern",2.78282916675
"185",8,9,"Southern",0.451495370166667
"186",8,9,"Northern",2.03043703716667
"187",8,10,"Southern",0.366137036833333
"188",8,10,"Northern",1.1092472225
"189",8,11,"Southern",0.55215972225
"190",8,11,"Northern",1.0864625
"191",8,12,"Southern",0.650103703666667
"192",8,12,"Northern",1.01539166666667
"193",9,1,"Southern",0.80198888875
"194",9,1,"Northern",1.43584166675
"195",9,2,"Southern",0.587391111
"196",9,2,"Northern",1.39697
"197",9,3,"Southern",0.536837962833333
"198",9,3,"Northern",1.737386111
"199",9,4,"Southern",0.4379694445
"200",9,4,"Northern",1.981997222
"201",9,5,"Southern",0.182642284
"202",9,5,"Northern",1.95197962933333
"203",9,6,"Southern",0.095668889
"204",9,6,"Northern",2.1942333334
"205",9,7,"Southern",0.0510255556
"206",9,7,"Northern",2.2369266668
"207",9,8,"Southern",0.1025033334
"208",9,8,"Northern",2.31021
"209",9,9,"Southern",0.2353077778
"210",9,9,"Northern",1.9965255554
"211",9,10,"Southern",0.489203703666667
"212",9,10,"Northern",1.69866666666667
"213",9,11,"Southern",0.86719722225
"214",9,11,"Northern",1.0786375
"215",9,12,"Southern",0.811285185
"216",9,12,"Northern",0.993
