"Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","trend","direction"
0.664111888870659,-0.0236068085568796,-1.56453859925798,-2.6503333263425,-1.7412601339406,0.010742229096959,0.262203774743023,1.4560274594453,-1.15299353130872,-0.865926475043927,-0.224864269269689,-0.590818775284095,0.778392679244159,9.99315632811954e-15,6.68028752576062e-16,-1.3896936022859e-15,-10.1942071,"negative"
-1.89912901368148,-1.67635669030216,-0.0160617798351439,2.38589122713281,-1.0041593690953,-1.38225656349108,0.474811298036977,-0.763637911696107,-0.0690531174221304,-0.212499371138781,0.106414998358487,-0.108169429163134,0.0460471288750129,1.27281522166461e-15,7.09723853374453e-16,-7.66556261603057e-16,7.7094331,"positive"
-2.79999494832338,-0.449749784151273,0.887952391483887,1.11159727382462,-1.12091555126722,-1.65867241021265,2.13061672705591,0.897093593215217,-0.281343472706273,0.163893463660225,-0.150581053149241,0.0562373542528012,-0.0325402079743876,1.10628176797083e-15,-1.62174449833838e-15,1.06531172902845e-15,-6.9203733,"negative"
-1.73906456679108,-1.41153792300045,-0.841454781754398,0.526203461825332,-1.63248879702902,1.33192086436705,-1.27610787176873,1.16226642771075,1.37326862101675,0.340577345875138,-0.234749748191298,0.19280495673411,0.0595222009489723,-2.94094190876353e-15,-7.75261179436642e-16,3.99488806714611e-15,4.3743708,"positive"
-1.77080759332751,-1.76281534269577,-1.89190465407523,-0.281119166435329,-1.66536625466071,0.752124977536435,-1.7536791768257,-0.148111469933963,0.101042721641039,0.0883528731308563,-0.291580742422919,0.183879613774957,-0.0464655608576671,-2.94094190876353e-15,-7.75261179436642e-16,2.66262043759592e-15,-9.5873664,"negative"
1.98322045005242,-0.601793444593127,-0.443243447737818,0.202215402798657,0.0770920792412118,0.18200992633531,0.132258964357972,0.0589352784030276,0.0567259037544579,-1.40142427172829,0.207596779845907,0.0918670130768428,-0.0814690757154703,5.48324416233233e-16,1.58834793897903e-15,2.67115615976983e-16,-7.5819121,"negative"
-2.92001867338727,-0.445935853256092,1.00885700861992,-0.837097260717467,1.38449644766382,0.766787677007905,1.1739239010449,0.862860934043915,0.0830961508483623,0.138926806267116,-0.111310932021999,0.0392180938391301,-0.0102513955471367,-4.32223306726308e-17,-1.35409086364862e-15,6.13561411216951e-16,-3.2532267,"negative"
-1.89912901368148,-1.67635669030216,-0.0160617798351439,2.38589122713281,-1.0041593690953,-1.38225656349108,0.474811298036977,-0.763637911696107,-0.0690531174221304,-0.212499371138781,0.106414998358487,-0.108169429163134,0.0460471288750129,1.27281522166461e-15,7.09723853374453e-16,-7.66556261603057e-16,0.6256906,"positive"
1.79361496941632,0.512657355174263,2.00255208746542,-0.661487151803496,-0.11311720451029,-0.82996477835753,-0.826530790664237,1.09647260078384,0.20965145067604,-0.781032769117967,0.30191539669433,0.192727531783108,-0.0245398410143785,-9.22721091395099e-16,2.25448175375412e-15,2.40429493838041e-15,4.7090637,"positive"
-1.0504880916222,3.61379747292774,-1.13922860561622,-0.795021000892369,-0.0143651820115167,-0.375732194949087,1.07714783446385,-0.815166770545294,0.750097405972596,-0.252945559301787,-0.0244064314493601,0.15283483413106,0.0414043898632303,-1.89416623794211e-15,-1.74232113489644e-15,2.26551706030226e-15,1.9864233,"positive"
