"","Decade","mean_ct","mean_cta_months","mean_cta_days","sd_cta_months","se_cta_months","se_cta_days","group"
"1",1955,6.66264926860195,0.380647051473105,11.5868962468413,0.902303821804692,0.180460764360938,5.49322566714697,"assemblage"
"52",1965,6.27255671634634,-0.017034018878251,-0.518515534653962,0.480183309180729,0.0960366618361457,2.92335598629228,"assemblage"
"108",1975,5.99955919040788,-0.215772656422076,-6.56811966148799,0.732260055919374,0.146452011183875,4.45799922043715,"assemblage"
"155",1985,6.42682314707275,0.127268142236848,3.87404224968966,0.718024494109853,0.143604898821971,4.37133312014078,"assemblage"
"211",1995,6.35451871208484,0.0380171129397248,1.15724091788522,0.605332306472907,0.121066461294581,3.68526308180706,"assemblage"
"268",2005,6.23499345182485,-0.0815081473202688,-2.48110800442898,0.588274936129609,0.117654987225922,3.58141781115706,"assemblage"
"325",2015,6.08903130578229,-0.227470293362828,-6.92419572996449,0.666517717124072,0.133303543424814,4.05775986185135,"assemblage"
"11",1955,7.30578458937222,0.795960848713146,24.2290482348282,0.7287324085216,0.14574648170432,4.4365229030795,"earlier"
"2",1965,6.66548988166727,0.186464474014729,5.67597858900836,0.462713634980184,0.0925427269960369,2.81700060975936,"earlier"
"3",1975,6.44594365929297,0.00676445192995747,0.205909916747905,0.504996375704965,0.100999275140993,3.07441793529183,"earlier"
"4",1985,6.35740579586598,-0.0913701705246776,-2.78130799077119,0.565184463796595,0.113036892759319,3.44084301559367,"earlier"
"5",1995,6.41663440278924,-0.0623910048632972,-1.89918218803877,0.64642339029147,0.129284678058294,3.93542560009447,"earlier"
"6",2005,6.28235950227962,-0.196665905372921,-5.98651015955172,0.456507203879836,0.0913014407759673,2.77921585722044,"earlier"
"7",2015,5.8968408372601,-0.582184570392438,-17.7216983227458,0.521366351478373,0.104273270295675,3.17407834780033,"earlier"
"12",1955,5.1769557675057,-0.829926317705389,-25.262957110952,0.526562906495966,0.105312581299193,3.20571497474744,"later"
"21",1965,6.00640888018505,-0.20407646009886,-6.2120874454093,0.560515806757487,0.112103161351497,3.41242023153958,"later"
"31",1975,4.98942489029652,-0.430997970554826,-13.1195782236889,0.364512624969142,0.0729025249938283,2.21915286081214,"later"
"41",1985,6.23927807811854,0.0287927378346319,0.876450939686194,0.588391367876649,0.11767827357533,3.58212664763304,"later"
"51",1995,6.66690116313242,0.456415822848511,13.8932976475087,0.283512421980946,0.0567024843961893,1.72602362502,"later"
"61",2005,6.3663794763082,0.155894136024293,4.74541750057949,0.442109910009038,0.0884219820018077,2.69156513213503,"later"
"71",2015,6.75061470305503,0.540129362771117,16.4415378027528,0.729007818858014,0.145801563771603,4.43819960120759,"later"
"13",1955,6.42971399024156,0.341854941607935,10.4060644225455,0.765367232549592,0.153073446509918,4.65955571176192,"no_change"
"22",1965,5.86186346943567,-0.2075878857345,-6.31897524175819,0.358532214118683,0.0717064428237366,2.18274411955454,"no_change"
"32",1975,5.72502385968156,-0.428521441760656,-13.0441926871944,0.951398412303376,0.190279682460675,5.79211353410296,"no_change"
"42",1985,6.59314489716626,0.440166940875877,13.3986816802617,0.84303370140559,0.168606740281118,5.13238917415723,"no_change"
"53",1995,6.14077748787309,-0.0122004684172983,-0.37138225862256,0.596312089573528,0.119262417914706,3.63034800132364,"no_change"
"62",2005,6.11778594789014,-0.0351920084002425,-1.07124473570338,0.757871120758316,0.151574224151663,4.61391938317663,"no_change"
"72",2015,6.05259759505108,-0.100380361239306,-3.05557819612448,0.475367375325135,0.095073475065027,2.89403658097942,"no_change"
