"","decade","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","se_ct_months","lower_ct","upper_ct","se_cta_days"
"1","1955",7.70826442741278,7.23823416124157,0.349420185803372,0.470030266171209,14.3077213022516,0.03414565,7.64133895341278,7.77518990141278,0.9752994
"2","1965",7.08342833189456,7.23823416124157,0.349420185803372,-0.154805829347015,-4.71228944532313,0.06182696,6.96224749029456,7.20460917349456,1.6038802
"3","1975",7.64389491666831,7.23823416124157,0.349420185803372,0.40566075542674,12.34831339519,0.05594333,7.53424598986831,7.75354384346831,1.5713348
"4","1985",7.37652498418246,7.23823416124157,0.349420185803372,0.138290822940894,4.2095726503208,0.02504391,7.32743892058246,7.42561104778246,0.7639873
"5","1995",7.1365198035876,7.23823416124157,0.349420185803372,-0.101714357653967,-3.09618504698676,0.0252116,7.0871050675876,7.1859345395876,0.7941501
"6","2005",6.80132855491244,7.23823416124157,0.349420185803372,-0.436905606329132,-13.2994066566588,0.02647175,6.74944392491244,6.85321318491244,0.849211
"7","2015",6.91767811003284,7.23823416124157,0.349420185803372,-0.320556051208729,-9.7577261987937,0.02877941,6.86127046643284,6.97408575363284,0.8808168
