"Period_3y","ct","ct_anomaly_months","ct_anomaly_days"
1,7.19469026548673,0.244938228714801,7.45591968207855
2,6.80681818181818,-0.142933854953743,-4.35090654479193
3,6.8476821192053,-0.102069917566626,-3.10700829072811
4,7.45454545454545,0.50479341777353,15.3659116370262
5,7.03381642512077,0.0840643883488488,2.55891998133896
6,6.76150627615063,-0.188245760621297,-5.73020095331228
7,6.82484076433121,-0.124911272440714,-3.80229913309535
8,6.23880597014925,-0.710946066622671,-21.6411982679941
9,7.37323943661972,0.423487399847794,12.8909564513668
NA,6.961575474292,0.011823437520075,0.359905438111082
