"Taxa","Period_3y","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","cor","group","trend_d3y","trend_dy"
"Anoplarchus.purpurescens",1,3,3.07016623130137,0.537517819311093,-0.0701662313013651,-2.13586008081355,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",2,2.37340371607093,3.07016623130137,0.537517819311093,-0.696762515230438,-21.2094509636145,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",3,4,3.07016623130137,0.537517819311093,0.929833768698635,28.3041399191864,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",4,3,3.07016623130137,0.537517819311093,-0.0701662313013651,-2.13586008081355,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",5,2.19671061224935,3.07016623130137,0.537517819311093,-0.873455619052016,-26.5879890439434,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",6,3.14531092596688,3.07016623130137,0.537517819311093,0.0751446946655125,2.2874045056182,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",7,3.36470571684509,3.07016623130137,0.537517819311093,0.294539485543726,8.96578193995101,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",8,3.19923342986304,3.07016623130137,0.537517819311093,0.129067198561676,3.92880552421742,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Anoplarchus.purpurescens",9,3.352131680717,3.07016623130137,0.537517819311093,0.281965449415635,8.58302828021191,0.234429220494734,"no_change",1.40061452559264,0.466871508530881
"Artedius.fenestralis",1,6.96782594541804,5.0637729399476,1.91077673948258,1.90405300547044,57.9593734865203,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",2,7.93450522995288,5.0637729399476,1.91077673948258,2.87073229000528,87.3850909077607,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",3,5,5.0637729399476,1.91077673948258,-0.0637729399475999,-1.94124829200494,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",5,6,5.0637729399476,1.91077673948258,0.9362270600524,28.4987517079951,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",6,4.96224987767785,5.0637729399476,1.91077673948258,-0.101523062269745,-3.09036201549104,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",7,4.45548769141581,5.0637729399476,1.91077673948258,-0.608285248531791,-18.5162029653077,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",8,2.24797412687244,5.0637729399476,1.91077673948258,-2.81579881307516,-85.7129158700079,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.fenestralis",9,2.94214064824377,5.0637729399476,1.91077673948258,-2.12163229170383,-64.5824869594644,-0.885602337053657,"earlier",-17.7613882544262,-5.9204627514754
"Artedius.harringtoni",1,5.94234684043612,4.10185373472371,1.1194821615751,1.84049310571241,56.0246101378856,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",2,3.31968759252038,4.10185373472371,1.1194821615751,-0.78216614220333,-23.8091373686694,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",3,3.33733301717009,4.10185373472371,1.1194821615751,-0.764520717553627,-23.2720106423324,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",4,3.50715512011091,4.10185373472371,1.1194821615751,-0.594698614612803,-18.1026258288137,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",5,2.31737102734477,4.10185373472371,1.1194821615751,-1.78448270737894,-54.319653612615,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",6,4.98516165183783,4.10185373472371,1.1194821615751,0.883307917114115,26.8878929969537,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",7,4.39368575354305,4.10185373472371,1.1194821615751,0.291832018819332,8.88336665286047,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",8,5.11577539521536,4.10185373472371,1.1194821615751,1.01392166049164,30.8637753453656,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Artedius.harringtoni",9,3.99816721433492,4.10185373472371,1.1194821615751,-0.103686520388795,-3.15621768063493,0.0490184398878139,"no_change",0.609945004736262,0.203315001578754
"Engraulis.mordax",1,5.04400926981381,6.31318480649491,0.91897281958917,-1.2691755366811,-38.6337033365726,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
"Engraulis.mordax",2,7.29709026117027,6.31318480649491,0.91897281958917,0.983905454675369,29.9500820403182,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
"Engraulis.mordax",3,6.32912375242165,6.31318480649491,0.91897281958917,0.0159389459267452,0.485181514010123,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
"Engraulis.mordax",4,6.86013621242071,6.31318480649491,0.91897281958917,0.546951405925805,16.6492007963815,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
"Engraulis.mordax",5,6.73768153931976,6.31318480649491,0.91897281958917,0.424496732824856,12.9216805471886,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
"Engraulis.mordax",6,6.30919920684897,6.31318480649491,0.91897281958917,-0.00398559964593215,-0.121321653222175,0.0634963955098724,"no_change",0.64858328992877,0.216194429976257
