"","scientific_name","phase","ct","mean_ct_months","sd_ct_months","ct_anomaly_months","ct_anomaly_days","group","mode"
"1","Argentina sialis","El Nino",7.60167459140144,7.19474698733165,0.399251343411504,0.406927604069793,12.3868762678845,"earlier","enso"
"2","Argentina sialis","La Nina",7.17892400974709,7.19474698733165,0.399251343411504,-0.0158229775845546,-0.481651437673843,"earlier","enso"
"3","Argentina sialis","Neutral",6.80364236084641,7.19474698733165,0.399251343411504,-0.391104626485238,-11.9052248302107,"earlier","enso"
"4","Aristostomias scintillans","El Nino",7.49047195849794,8.02256277220974,0.675285216686089,-0.532090813711799,-16.1968443693871,"later","enso"
"5","Aristostomias scintillans","La Nina",7.79497911960153,8.02256277220974,0.675285216686089,-0.227583652608206,-6.92764638539378,"later","enso"
"6","Aristostomias scintillans","Neutral",8.78223723852974,8.02256277220974,0.675285216686089,0.759674466320002,23.1244907547809,"later","enso"
"7","Bathophilus flemingi","El Nino",5.58303919267978,5.4754528376944,0.192256474645455,0.107586354985385,3.27492864575513,"earlier","enso"
"8","Bathophilus flemingi","La Nina",5.58983050847458,5.4754528376944,0.192256474645455,0.114377670780179,3.48165629854865,"earlier","enso"
"9","Bathophilus flemingi","Neutral",5.25348881192883,5.4754528376944,0.192256474645455,-0.221964025765565,-6.75658494430379,"earlier","enso"
"10","Bathylagoides wesethi","El Nino",6.91726225063371,6.75344012197609,0.144211520845911,0.163822128657612,4.98674559633772,"later","enso"
"11","Bathylagoides wesethi","La Nina",6.69738820237903,6.75344012197609,0.144211520845911,-0.056051919597067,-1.70622043253472,"later","enso"
"12","Bathylagoides wesethi","Neutral",6.64566991291555,6.75344012197609,0.144211520845911,-0.107770209060546,-3.28052516380302,"later","enso"
"13","Bathylagus pacificus","El Nino",8.69659308214074,8.37445795971905,0.411907379959177,0.32213512242169,9.80579312651624,"earlier","enso"
"14","Bathylagus pacificus","La Nina",7.91034021810634,8.37445795971905,0.411907379959177,-0.464117741612716,-14.1277440546911,"earlier","enso"
"15","Bathylagus pacificus","Neutral",8.51644057891008,8.37445795971905,0.411907379959177,0.141982619191024,4.32195092817478,"earlier","enso"
"16","Brosmophycis marginata","El Nino",4.70840037381645,4.85662809528164,0.454235096461466,-0.148227721465184,-4.5120518414002,"earlier","enso"
"17","Brosmophycis marginata","La Nina",4.49502309046066,4.85662809528164,0.454235096461466,-0.361605004820975,-11.0072563467505,"earlier","enso"
"18","Brosmophycis marginata","Neutral",5.3664608215678,4.85662809528164,0.454235096461466,0.509832726286159,15.5193081881507,"earlier","enso"
"19","Ceratoscopelus townsendi","El Nino",6.79681074876322,6.70012954661118,0.262811304506536,0.096681202152042,2.94297579350816,"earlier","enso"
"20","Ceratoscopelus townsendi","La Nina",6.90090606786771,6.70012954661118,0.262811304506536,0.200776521256536,6.11163730704896,"earlier","enso"
"21","Ceratoscopelus townsendi","Neutral",6.4026718232026,6.70012954661118,0.262811304506536,-0.297457723408577,-9.05461310055709,"earlier","enso"
"22","Chauliodus macouni","El Nino",5.93656370057613,5.5519210160625,0.343561060333757,0.384642684513623,11.7085233165947,"no_change","enso"
"23","Chauliodus macouni","La Nina",5.27550623699121,5.5519210160625,0.343561060333757,-0.276414779071291,-8.4140658749301,"no_change","enso"
"24","Chauliodus macouni","Neutral",5.44369311062017,5.5519210160625,0.343561060333757,-0.108227905442332,-3.29445744166459,"no_change","enso"
"25","Chromis punctipinnis","El Nino",8.46191235075761,8.0689883780507,0.467779058366411,0.392923972706908,11.9606057291983,"later","enso"
"26","Chromis punctipinnis","La Nina",8.19350195338432,8.0689883780507,0.467779058366411,0.124513575333618,3.79019323315532,"later","enso"
"27","Chromis punctipinnis","Neutral",7.55155083001017,8.0689883780507,0.467779058366411,-0.517437548040527,-15.7507989623536,"later","enso"
"28","Cololabis saira","El Nino",5.13788550973496,5.61320631925205,0.644261542056314,-0.475320809517086,-14.4687654417001,"no_change","enso"
"29","Cololabis saira","La Nina",5.35526049866349,5.61320631925205,0.644261542056314,-0.257945820588551,-7.8518707787155,"no_change","enso"
"30","Cololabis saira","Neutral",6.34647294935768,5.61320631925205,0.644261542056314,0.733266630105638,22.3206362204156,"no_change","enso"
"31","Diogenichthys atlanticus","El Nino",6.44020361237157,6.41101594954775,0.0362823955699637,0.0291876628238219,0.888472456357139,"earlier","enso"
"32","Diogenichthys atlanticus","La Nina",6.42245041970274,6.41101594954775,0.0362823955699637,0.0114344701549882,0.348065271517841,"earlier","enso"
"33","Diogenichthys atlanticus","Neutral",6.37039381656894,6.41101594954775,0.0362823955699637,-0.040622132978811,-1.23653772787501,"earlier","enso"
"34","Electrona risso","El Nino",6.18036971569026,6.81907781592193,0.665576023916568,-0.638708100231677,-19.4422745710522,"no_change","enso"
"35","Electrona risso","La Nina",7.50860806143183,6.81907781592193,0.665576023916568,0.689530245509896,20.9893006733212,"no_change","enso"
"36","Electrona risso","Neutral",6.76825567064371,6.81907781592193,0.665576023916568,-0.0508221452782198,-1.54702610226901,"no_change","enso"
"37","Engraulis mordax","El Nino",3.51020949817791,3.73081187075242,0.278279274137184,-0.220602372574505,-6.71513622116795,"no_change","enso"
"38","Engraulis mordax","La Nina",3.63877596373942,3.73081187075242,0.278279274137184,-0.0920359070129937,-2.80157300947553,"no_change","enso"
"39","Engraulis mordax","Neutral",4.04345015033991,3.73081187075242,0.278279274137184,0.312638279587499,9.51670923064346,"no_change","enso"
"40","Girella nigricans","El Nino",7.98022598870056,6.07794482313437,2.01497233793591,1.9022811655662,57.9054386798351,"later","enso"
