"","Period_3y","mean_ct","mean_cta_months","mean_cta_days","sd_cta_months","se_cta_months","se_cta_days","group"
"1",1,5.7747730108929,0.220419030692292,6.70955529427336,1.58970360931685,0.317940721863371,9.678115573521,"assemblage"
"25",2,5.84818386785365,0.226780769728678,6.90320663054096,0.981295823958854,0.196259164791771,5.9741289762615,"assemblage"
"50",3,5.44531305159222,-0.135393318279974,-4.1213726084424,0.887856123363517,0.177571224672703,5.40526807903709,"assemblage"
"73",4,5.50664091810816,-0.10370905393546,-3.15690360179542,0.937776065734528,0.187555213146906,5.7091806881918,"assemblage"
"97",5,5.44654189647645,-0.17486120164853,-5.32277497818125,0.607872488748032,0.121574497749606,3.70072771149802,"assemblage"
"122",6,5.85948014526324,0.238077047138261,7.24706531488865,1.03010241935024,0.206020483870047,6.27126352900423,"assemblage"
"147",7,5.34392675803759,-0.27747634008739,-8.44637979226016,0.547017369545497,0.109403473909099,3.33024174579299,"assemblage"
"11",1,7.24327610796487,1.55298442808023,47.2728459907621,1.76724289553733,0.353448579107467,10.7589747480313,"earlier"
"2",2,6.45765640170155,0.596221360880768,18.1489782252106,1.28265367475202,0.256530734950403,7.80879557189028,"earlier"
"3",3,5.42090708615577,-0.512479229720745,-15.5998677526995,1.08870499934504,0.217740999869009,6.62803603601263,"earlier"
"4",4,5.78155406900394,-0.0767255864097614,-2.33552685031314,0.929999038434928,0.185999807686986,5.66183414599184,"earlier"
"5",5,5.58618354318769,-0.275251497633089,-8.37865558795123,0.504229550102363,0.100845910020473,3.06974950102319,"earlier"
"6",6,5.15616921806575,-0.705265822755027,-21.468291644663,0.759665789868574,0.151933157973715,4.62484532871988,"earlier"
"7",7,5.38903801192838,-0.472397028892401,-14.3797655594847,0.567243476241777,0.113448695248355,3.45337828335994,"earlier"
"12",1,5.14532293656589,-1.04913918830427,-31.9357968919818,1.03005903491815,0.20601180698363,6.27099940458171,"later"
"21",2,6.12724995742814,-0.0672121674420205,-2.0459383769351,0.460275161162434,0.0920550322324867,2.8021551811569,"later"
"31",3,6.12118055228737,0.0664272235809669,2.02204468580463,0.60383040535389,0.120766081070778,3.67611950779448,"later"
"41",4,6.58416916516338,0.389707040293219,11.8626823065256,0.448739241159956,0.0897478482319912,2.73192450018181,"later"
"51",5,6.35221912048954,0.157756995619385,4.80212294665409,0.626978104907994,0.125395620981599,3.81704270267987,"later"
"61",6,6.65852175377048,0.464059628900319,14.1259751037257,0.613825637016231,0.122765127403246,3.73697047815481,"later"
"71",7,6.24393379615271,0.0494716712825575,1.50591767384105,0.310548059424502,0.0621096118849003,1.89061658577637,"later"
"13",1,4.97764057783152,-0.0838983558201215,-2.5538659511645,0.82696770820066,0.165393541640132,5.03457940752562,"no_change"
"22",2,5.13221893364586,0.0706799999942166,2.15149919982395,0.875536876869909,0.175107375373982,5.330268506384,"no_change"
"32",3,5.12690407359382,0.0653651399421731,1.98971485983975,0.80572291395429,0.161144582790858,4.90524110015372,"no_change"
"42",4,4.64019344915842,-0.421345484493228,-12.8257565479738,1.08985821156674,0.217971642313348,6.63505679201831,"no_change"
"52",5,4.77745808002847,-0.284080853623176,-8.64742118428948,0.666243653265739,0.133248730653148,4.05609136108182,"no_change"
"62",6,6.01303501463663,0.951496080984985,28.9635407051829,0.786050572945417,0.157210114589083,4.7854758880917,"no_change"
"72",7,4.76332240666679,-0.298216526984849,-9.07771108141881,0.590436001290475,0.118087200258095,3.59457437585641,"no_change"
